entry_time,exit_time,position,entry_price,exit_price,total_fee,net_pnl_pct,net_profit,exit_reason
2021-01-25 00:00:00-05:00,2021-01-27 00:00:00-05:00,long,13681.2099609375,13283.096958705357,6.916344724888393,-2.9604789935500486,-296.04789935500486,stop_loss
2021-02-01 00:00:00-05:00,2021-02-03 00:00:00-05:00,short,13226.1796875,13718.3095703125,6.911261494628906,-3.7731314415663832,-366.1400515342816,stop_loss
2021-02-05 00:00:00-05:00,2021-02-23 00:00:00-05:00,long,13824.8798828125,13262.6103515625,6.947941245117187,-4.1173411799605235,-384.4703208851399,stop_loss
2021-03-18 00:00:00-04:00,2021-05-06 00:00:00-04:00,long,13349.2001953125,13557.830078125,6.901653265136718,1.5111634150051856,135.29842417619392,trend_reversal
2021-05-06 00:00:00-04:00,2021-05-07 00:00:00-04:00,short,13557.830078125,13723.08984375,6.997555959960938,-1.2705375461438408,-115.47403229114073,trend_reversal
2021-07-20 00:00:00-04:00,2021-07-22 00:00:00-04:00,short,14330.4599609375,14671.2041015625,7.43892683203125,-2.4296712625144035,-218.01807092532678,stop_loss
2021-07-26 00:00:00-04:00,2021-08-19 00:00:00-04:00,long,14821.0302734375,14423.16015625,7.501134845214844,-2.735108454364526,-239.46387747637985,stop_loss
2021-09-21 00:00:00-04:00,2021-10-18 00:00:00-04:00,short,14803.3603515625,14839.740234375,7.603455300292969,-0.2971172562731712,-25.301505690326053,trend_reversal
2021-10-18 00:00:00-04:00,2021-10-19 00:00:00-04:00,long,14839.740234375,15073.1298828125,7.672651185058594,1.5210306493747587,129.14108954604643,trend_reversal
2021-11-29 00:00:00-05:00,2021-12-28 00:00:00-05:00,short,15719.419921875,15895.2001953125,8.109150060058592,-1.169823214924488,-100.83341133981133,trend_reversal
2021-12-28 00:00:00-05:00,2021-12-29 00:00:00-05:00,long,15895.2001953125,15794.919921875,8.128515810058595,-0.6820221696832002,-58.09965442951011,trend_reversal
2022-01-07 00:00:00-05:00,2022-01-24 00:00:00-05:00,short,15095.7197265625,13481.5,7.330056859863282,10.644670799466063,900.6052058284669,take_profit
2022-02-03 00:00:00-05:00,2022-02-23 00:00:00-05:00,long,14045.830078125,13154.954380580357,6.977001213657924,-6.392307850545752,-598.3835353852944,stop_loss
2022-03-01 00:00:00-05:00,2022-03-07 00:00:00-05:00,long,13716.7001953125,12936.4716796875,6.8365385859375,-5.73800581046385,-502.7903420206559,stop_loss
2022-04-11 00:00:00-04:00,2022-05-09 00:00:00-04:00,short,13547.2900390625,11923.0302734375,6.53313716015625,11.941330139092479,986.2989020784358,take_profit
2022-06-03 00:00:00-04:00,2022-06-10 00:00:00-04:00,long,12097.1201171875,11383.2373046875,6.022711678710937,-5.951048821577579,-550.2092523413925,stop_loss
2022-06-14 00:00:00-04:00,2022-06-24 00:00:00-04:00,short,10897.4296875,11570.734095982143,5.763084010463169,-6.231446423293165,-541.8389342152079,stop_loss
2022-08-23 00:00:00-04:00,2022-09-13 00:00:00-04:00,short,12380.3701171875,11908.8095703125,6.230174589843751,3.758614386165599,306.45991130420686,trend_reversal
2022-09-13 00:00:00-04:00,2022-09-14 00:00:00-04:00,long,11908.8095703125,11680.41015625,6.0506348598632815,-1.968711041503463,-166.55127090192778,trend_reversal
2022-09-19 00:00:00-04:00,2022-10-26 00:00:00-04:00,short,11338.5703125,10969.01953125,5.721896794921875,3.2087721328850574,266.1137928142603,trend_reversal
2022-10-26 00:00:00-04:00,2022-10-27 00:00:00-04:00,long,10969.01953125,10971.9501953125,5.627858734863281,-0.02458920475689878,-2.1046800499064884,trend_reversal
2022-11-04 00:00:00-04:00,2022-11-10 00:00:00-05:00,short,10548.1396484375,11105.05943080357,5.554045563825335,-5.332445783586259,-456.31135568814017,stop_loss
2022-11-14 00:00:00-05:00,2022-12-16 00:00:00-05:00,long,11233.900390625,10767.6298828125,5.6433925151367195,-4.200801893538792,-340.30975548728674,trend_reversal
2022-12-16 00:00:00-05:00,2022-12-19 00:00:00-05:00,short,10767.6298828125,10707.4404296875,5.50835553515625,0.5078285396596588,39.410899729939146,trend_reversal
2023-01-12 00:00:00-05:00,2023-02-23 00:00:00-05:00,long,10969.259765625,11636.9296875,5.798487594726563,6.033875105724253,470.6464991381993,trend_reversal
2023-02-23 00:00:00-05:00,2023-02-24 00:00:00-05:00,short,11636.9296875,11404.1796875,5.9100445546875005,1.9493110428344032,161.22436942955363,trend_reversal
2023-02-24 00:00:00-05:00,2023-02-28 00:00:00-05:00,long,11404.1796875,11451.0498046875,5.862366364746094,0.35958527440340193,30.3203040535014,trend_reversal
2023-03-17 00:00:00-04:00,2023-05-30 00:00:00-04:00,long,11696.33984375,13109.099609375,6.362595219726563,12.024250228645581,1017.5341023387073,take_profit
2023-08-10 00:00:00-04:00,2023-08-30 00:00:00-04:00,short,13818.25,13961.76953125,7.125575009765625,-1.0901894687081621,-103.35155302499679,trend_reversal
2023-08-30 00:00:00-04:00,2023-08-31 00:00:00-04:00,long,13961.76953125,14041.5400390625,7.182848904785157,0.5199030018741189,48.75036697882579,trend_reversal
2023-09-20 00:00:00-04:00,2023-10-12 00:00:00-04:00,short,13710.259765625,13672.4697265625,7.023670114746094,0.22440398266481265,21.151385403823546,trend_reversal
2023-10-12 00:00:00-04:00,2023-10-13 00:00:00-04:00,long,13672.4697265625,13613.58984375,6.998874279785156,-0.48183509204849584,-45.51765299685014,trend_reversal
2023-10-23 00:00:00-04:00,2023-11-03 00:00:00-04:00,short,12930.849609375,13385.529296875,6.750151189453126,-3.568441770097702,-335.4763626423205,stop_loss
